"filename", "language", "C++", "comment", "blank", "total"
"e:\Program_Dev\SoftRender\src\Application.cpp", "C++", 275, 51, 74, 400
"e:\Program_Dev\SoftRender\src\Application.hpp", "C++", 27, 7, 7, 41
"e:\Program_Dev\SoftRender\src\ImguiCommon.hpp", "C++", 10, 3, 2, 15
"e:\Program_Dev\SoftRender\src\ObjLoader.cpp", "C++", 102, 7, 26, 135
"e:\Program_Dev\SoftRender\src\ObjLoader.hpp", "C++", 11, 0, 3, 14
"e:\Program_Dev\SoftRender\src\Pipeline.cpp", "C++", 70, 19, 22, 111
"e:\Program_Dev\SoftRender\src\Pipeline.hpp", "C++", 25, 4, 13, 42
"e:\Program_Dev\SoftRender\src\Render\Camera.hpp", "C++", 33, 5, 7, 45
"e:\Program_Dev\SoftRender\src\Render\CommonHeader.hpp", "C++", 19, 0, 7, 26
"e:\Program_Dev\SoftRender\src\Render\Light.hpp", "C++", 14, 0, 4, 18
"e:\Program_Dev\SoftRender\src\Render\Materials\M_BlinnPhongMaterial.hpp", "C++", 10, 0, 2, 12
"e:\Program_Dev\SoftRender\src\Render\Materials\M_PreviewMaterial.hpp", "C++", 8, 0, 2, 10
"e:\Program_Dev\SoftRender\src\Render\Materials\M_ShadowedBlinnPhongMaterial.hpp", "C++", 10, 0, 2, 12
"e:\Program_Dev\SoftRender\src\Render\Materials\Material.hpp", "C++", 23, 4, 11, 38
"e:\Program_Dev\SoftRender\src\Render\Model.hpp", "C++", 51, 0, 15, 66
"e:\Program_Dev\SoftRender\src\Render\Raster.cpp", "C++", 54, 15, 10, 79
"e:\Program_Dev\SoftRender\src\Render\Raster.hpp", "C++", 18, 13, 9, 40
"e:\Program_Dev\SoftRender\src\Render\Renderer.cpp", "C++", 134, 19, 39, 192
"e:\Program_Dev\SoftRender\src\Render\Renderer.hpp", "C++", 362, 77, 100, 539
"e:\Program_Dev\SoftRender\src\Render\Shaders\S_BlinnPhongShader.hpp", "C++", 8, 81, 4, 93
"e:\Program_Dev\SoftRender\src\Render\Shaders\S_NormalTestShader.hpp", "C++", 0, 17, 0, 17
"e:\Program_Dev\SoftRender\src\Render\Shaders\S_NullShader.hpp", "C++", 0, 15, 0, 15
"e:\Program_Dev\SoftRender\src\Render\Shaders\S_PreviewShader.hpp", "C++", 29, 4, 9, 42
"e:\Program_Dev\SoftRender\src\Render\Shaders\S_ShadowedBlinnPhongShader.hpp", "C++", 8, 158, 2, 168
"e:\Program_Dev\SoftRender\src\Render\Shaders\S_TextureShader.hpp", "C++", 0, 28, 0, 28
"e:\Program_Dev\SoftRender\src\Render\Shaders\Shader.hpp", "C++", 30, 52, 11, 93
"e:\Program_Dev\SoftRender\src\Render\Shaders\ShaderRegister.hpp", "C++", 13, 5, 4, 22
"e:\Program_Dev\SoftRender\src\Render\Shaders\ShaderTypes.hpp", "C++", 10, 1, 1, 12
"e:\Program_Dev\SoftRender\src\Render\Shadow\DirectionalShadow.hpp", "C++", 176, 26, 48, 250
"e:\Program_Dev\SoftRender\src\Render\Shadow\ShadowMapRenderer.hpp", "C++", 207, 52, 57, 316
"e:\Program_Dev\SoftRender\src\Render\Shape.hpp", "C++", 17, 3, 9, 29
"e:\Program_Dev\SoftRender\src\Render\Texture.cpp", "C++", 29, 6, 5, 40
"e:\Program_Dev\SoftRender\src\Render\Texture.hpp", "C++", 13, 7, 5, 25
"e:\Program_Dev\SoftRender\src\Render\TextureManager.hpp", "C++", 38, 7, 8, 53
"e:\Program_Dev\SoftRender\src\Render\Triangle.hpp", "C++", 65, 0, 10, 75
"e:\Program_Dev\SoftRender\src\Scene.cpp", "C++", 61, 6, 10, 77
"e:\Program_Dev\SoftRender\src\Scene.hpp", "C++", 32, 4, 14, 50
"e:\Program_Dev\SoftRender\src\SharedConfig.cpp", "C++", 8, 3, 4, 15
"e:\Program_Dev\SoftRender\src\SharedConfig.hpp", "C++", 18, 3, 4, 25
"e:\Program_Dev\SoftRender\src\main.cpp", "C++", 131, 49, 35, 215
"e:\Program_Dev\SoftRender\src\stb_image_write.cpp", "C++", 2, 0, 0, 2
"Total", "-", 2151, 751, 595, 3497
